word,freq
energy,5753
system,3036
climate-change,2560
carbon,2503
water,1785
assessment,1656
china,1467
power,1460
building,1318
emission,1280
model,1193
low-carbon,1148
production,1132
co2,1100
development,1085
management,1027
urban,1023
renewable,1017
performance,1017
storage,1010
climate,991
gas,966
technology,948
potential,920
policy,919
future,903
low,880
strategy,861
case-study,853
approach,849
study,839
fuel,827
adaptation,813
environmental,811
design,798
sustainable,797
hydrogen,772
solar,762
heat,726
application,696
cycle,670
risk,667
electricity,664
economic,661
change,638
global,631
optimization,625
city,620
thermal,603
carbon-emission,595
biomass,588
mitigation,587
green,579
perspective,562
sector,554
process,543
plant,542
sustainability,541
generation,539
reduction,537
scenario,532
case,530
transition,522
river,519
efficiency,518
resource,516
life,515
new,504
use,496
capture,495
resilience,486
flood,485
framework,474
basin,471
role,465
method,458
industry,444
network,437
coastal,436
community,433
economy,428
challenge,426
natural,425
response,422
area,415
residential,408
cost,407
supply,404
vehicle,396
electric,390
material,389
hybrid,385
demand,384
region,383
forest,367
waste,365
optimal,365
consumption,365
implication,357
temperature,354
soil,351
greenhouse,345
solution,340
photovoltaic,339
coal,337
combustion,337
simulation,335
net,332
concrete,329
source,327
different,326
high,325
vulnerability,316
distribution,310
characteristic,310
wind,309
condition,309
conservation,308
environment,306
uncertainty,302
uk,301
regional,293
industrial,293
cell,293
operation,287
experimental,287
land,284
market,284
construction,281
ecosystem,280
control,279
engine,278
oil,278
influence,277
drought,276
dioxide,275
state,272
planning,268
data,265
dynamic,264
local,263
net-zero,261
current,259
grid,258
battery,256
indium,255
european,255
property,252
country,251
comparison,249
mechanism,248
integration,247
air,244
investigation,244
smart,242
novel,242
infrastructure,240
biofuel,237
support,237
comparative,234
flow,233
extreme,232
level,231
option,230
district,229
long-term,227
steel,226
spatial,225
agricultural,225
utilization,225
trend,221
wastewater,221
opportunity,218
structure,217
project,217
advance,215
bioenergy,212
south,212
catalyst,212
techno-economic,211
capacity,211
transport,209
recovery,206
treatment,206
cement,205
groundwater,203
species,203
scale,202
growth,202
social,201
dynamics,199
pump,197
enhance,194
organic,194
target,193
methane,193
service,191
decision,190
island,190
disaster,189
chemical,189
benefit,189
alternative,187
conversion,187
pv,187
carbon-neutrality,186
quality,186
reservoir,184
measure,183
public,181
footprint,180
africa,180
practice,178
tool,178
context,178
comprehensive,177
pathway,177
ecological,176
critical,175
hydrological,175
crop,174
sequestration,173
security,172
province,172
gasification,171
sustainable-development,170
rural,170
marine,170
innovation,169
nuclear,168
solid,168
heating,167
europe,167
investment,166
prediction,165
efficient,164
direct,164
methodology,162
irrigation,161
integrated,161
deep,161
sea,160
trading,160
house,159
national,157
evolution,155
feasibility,155
transportation,155
variability,152
household,152
decarbonization,151
recent,151
progress,148
pattern,147
southern,146
status,146
index,145
chain,145
zero,145
adaptive,145
behavior,144
removal,143
perception,143
nitrogen,143
surface,142
load,142
indicator,141
agriculture,140
value,139
time,138
insight,136
pyrolysis,136
multiple,135
carbon-neutral,135
variation,134
biodiesel,133
retrofit,132
biodiversity,132
multi-objective,131
composite,131
improvement,130
northern,129
food,128
tree,128
prospect,128
climatic,127
landscape,127
event,126
housing,125
small,125
implementation,125
diesel,125
turbine,124
transformation,123
empirical,123
product,123
reactor,123
technique,122
contribution,122
cc,122
tropical,122
governance,122
catchment,121
chinese,121
interaction,120
membrane,120
large,119
australium,119
yield,119
systematic,119
mediterranean,118
central,118
clean,117
population,117
north,116
ghg,115
flexibility,115
nexus,115
action,114
barrier,114
international,114
synthesis,114
fossil,113
domestic,113
key,113
concept,113
numerical,113
modeling,112
precipitation,112
steam,112
overview,111
field,111
acid,111
canada,109
world,109
standard,109
goal,109
large-scale,109
geothermal,109
stock,108
microgrid,108
estimation,108
issue,107
injection,107
regulation,106
bioga,105
technological,105
price,105
human,104
comfort,104
projection,104
relationship,104
hazard,104
life-cycle,103
algorithm,103
ash,103
road,102
characterization,102
united,102
scheme,101
mechanical,101
rise,100
engineering,100
vegetation,100
activity,100
lesson,99
liquid,99
expansion,98
home,98
allocation,98
japan,98
path,97
circular,97
municipal,97
germany,97
parameter,97
intensity,97
catalytic,97
selection,97
stress,96
transfer,96
experience,96
hot,95
loss,95
flexible,95
space,94
technical,94
driver,94
deployment,94
structural,94
methanol,94
station,94
delta,93
dispatch,93
carbon-reduction,93
panel,93
formation,93
modelling,93
problem,92
phase,92
part,91
requirement,91
farm,91
unit,91
ignition,91
microbial,91
commercial,90
type,90
site,90
lake,90
wetland,89
productivity,88
machine,88
slag,88
constraint,87
protection,87
decarbonisation,87
rice,87
robust,86
ocean,86
effective,86
hydropower,86
bangladesh,86
shift,85
western,85
biochar,85
aquifer,84
monitoring,84
brazil,84
balance,84
sensitivity,83
decomposition,83
blend,83
office,82
eu,82
diversity,82
multi-criterion,81
mountain,81
health,81
embody,81
drainage,81
park,81
reaction,81
optimisation,81
metal,81
ammonia,81
electrochemical,81
wood,80
italy,80
feedstock,80
restoration,80
sludge,80
rainfall,80
passive,80
regime,80
geopolymer,80
resilient,79
iran,79
plan,79
increase,79
knowledge,79
zone,79
anaerobic,79
innovative,79
dry,79
mixture,79
strength,79
taiwan,78
science,78
ratio,78
game,78
various,77
biological,77
gap,76
variable,76
ground,75
seasonal,75
cold,75
flame,75
warming,74
genetic,74
korea,74
literature,73
survey,73
information,73
eastern,73
runoff,73
ethanol,73
availability,73
year,73
electrolysis,73
financial,72
business,72
rate,72
operational,72
active,72
experiment,71
iron,71
spain,71
university,71
thermodynamic,71
habitat,71
transmission,70
effectiveness,70
enterprise,70
measurement,70
assess,70
medium,70
desalination,70
pressure,70
asia,69
strategic,69
mix,69
brazilian,69
temporal,69
artificial,69
peak,69
multi-energy,69
degradation,69
stability,69
microalga,69
theory,69
stream,69
stochastic,69
society,68
negative,68
limit,68
wheat,68
kinetic,68
california,67
coral,67
lignocellulosic,66
absorption,66
pollution,66
west,66
wall,66
fish,66
biorefinery,66
cooling,66
decision-making,66
tax,66
spatiotemporal,66
oxide,66
roof,65
range,65
probabilistic,65
frequency,65
great,65
freshwater,65
electrical,65
compression,65
enhancement,64
thermochemical,64
penetration,64
configuration,64
matter,64
composition,64
degree,63
coal-fired,63
weather,63
pilot,63
synga,63
complex,63
semi-arid,63
oxidation,63
mitigate,62
priority,62
trade-off,62
program,62
adoption,62
electrification,62
residue,62
trade,62
plateau,61
behaviour,61
quantitative,61
adsorption,61
australian,60
poland,60
internal,60
shale,60
indian,60
due,60
consideration,60
co,60
way,59
rapid,59
pakistan,59
component,59
indoor,59
supercritical,59
threat,58
function,58
sediment,58
coast,58
tourism,58
resistance,58
diffusion,57
cementitious,57
century,57
real,57
stakeholder,57
african,57
fuzzy,57
straw,57
streamflow,57
indonesia,56
malaysia,56
palm,56
fly,56
dual,56
point,56
land-use,56
cover,56
aggregate,56
relate,55
bridge,55
erosion,55
learning,55
manufacturing,55
government,55
reef,55
usa,55
exergy,55
mortar,54
roadmap,54
light,54
blue,54
mode,54
choice,54
incentive,54
geological,54
historical,54
exchange,54
accounting,53
conceptual,53
consumer,53
thailand,53
pavement,53
identification,53
preparation,53
primary,53
ensemble,53
mass,53
portfolio,53
furnace,53
turkey,52
traditional,52
stormwater,52
mexico,52
bed,52
vietnam,51
estimate,51
farmer,51
plain,51
insulation,51
compound,51
nature-based,50
criterion,50
intelligent,50
school,50
particle,50
atmospheric,50
size,50
corrosion,50
coordinate,50
pricing,50
company,49
aspect,49
lca,49
temperate,49
possible,49
difference,49
grassland,49
ventilation,49
hydrocarbon,49
face,48
bioethanol,48
east,48
synthetic,48
typical,48
scarcity,48
provincial,48
damage,48
present,48
envelope,48
physical,48
microstructure,48
content,48
quantification,47
major,47
economics,47
subtropical,47
digestion,47
digital,47
total,47
alkali-activated,47
reinforcement,47
initiative,47
mixed,47
hydrate,47
state-of-the-art,46
neural,46
energy-saving,46
functional,46
anthropogenic,46
storm,46
urbanization,46
portugal,46
hydrologic,46
earth,46
porou,46
synergy,45
high-temperature,45
underground,45
campus,45
statistical,45
cause,45
winter,45
durability,45
stage,45
derive,45
oxygen,45
outlook,44
intervention,44
test,44
importance,44
exploration,44
evolutionary,44
curve,44
summer,44
holistic,44
preliminary,44
carbonate,44
analytical,44
forecasting,44
aviation,44
arid,44
nutrient,44
heavy,44
route,44
denitrification,44
open,44
demonstration,44
view,44
extraction,44
consequence,43
density,43
seawater,43
abatement,43
agreement,43
canadian,43
savings,43
nepal,43
calcium,43
bio-oil,43
conventional,43
renovation,43
two-stage,43
kingdom,43
equilibrium,43
data-driven,43
hydrothermal,43
generator,43
carrier,43
nature,42
hydrology,42
fishery,42
principle,42
promote,42
heterogeneou,42
post-combustion,42
pari,42
france,42
general,42
concentration,42
moisture,42
clay,42
sea-level,42
gradient,42
addition,42
sewage,42
term,41
facility,41
participation,41
ethiopia,41
side,41
exchanger,41
remote,41
flooding,41
poverty,41
algal,41
partial,41
union,41
voltage,41
safety,40
co-benefit,40
socioeconomic,40
marginal,40
preference,40
britain,40
flux,40
architecture,40
block,40
parametric,40
determinant,40
trait,40
sugarcane,40
regression,40
binder,40
small-scale,39
gasoline,39
mobility,39
pacific,39
proposal,39
affect,39
terrestrial,39
need,39
discharge,39
pollutant,39
detection,39
form,39
greece,39
timber,39
reliability,39
focus,39
platform,39
additive,39
separation,39
covid-19,38
simultaneou,38
modern,38
fluid,38
subsidy,38
upper,38
salt,38
recharge,38
yangtze,38
spatio-temporal,38
meta-analysis,38
carbonation,38
reinforce,38
hydraulic,38
jet,38
fire,38
crisis,37
direction,37
coordination,37
indirect,37
bibliometric,37
prospective,37
german,37
forecast,37
calculation,37
collector,37
sweden,37
bottom-up,37
double,37
uncertain,37
early,37
arctic,37
solvent,37
series,37
american,36
location,36
acceptance,36
correlation,36
zealand,36
drive,36
communication,36
co-firing,36
cultivation,36
regulatory,36
individual,36
device,36
continuou,36
corn,36
metropolitan,36
mining,36
cogeneration,36
utility,36
validation,36
pipeline,36
exhaust,36
predictive,36
viability,36
exposure,35
heterogeneity,35
input-output,35
reuse,35
migration,35
group,35
substitution,35
people,35
dam,35
nzeb,35
profile,35
hvac,35
bird,34
disturbance,34
recommendation,34
emergency,34
black,34
finland,34
era,34
asian,34
theoretical,34
element,34
failure,34
socio-economic,34
positive,34
gus,34
virtual,34
vision,34
justice,34
bay,34
agent-based,34
institutional,34
phosphorus,34
single,34
photocatalytic,34
alkaline,34
molecular,34
evaluate,33
step,33
education,33
observation,33
zero-energy,33
instrument,33
usage,33
mine,33
rainwater,33
drinking,33
suitability,33
cost-effective,33
joint,33
access,33
cooperation,33
pretreatment,33
metric,33
hydration,33
synergistic,33
history,33
h-2,33
art,33
electrode,33
electrocatalyst,33
short-term,33
niche,32
occupant,32
bus,32
versus,32
chile,32
village,32
beijing,32
discussion,32
facade,32
window,32
petroleum,32
ghana,32
reveal,32
combination,32
valley,32
pipe,32
grid-connected,32
lower,32
italian,32
ch4,32
blast,32
concentrate,32
relation,32
chp,32
paste,32
installation,32
fiber,32
pine,32
speed,31
town,31
understanding,31
ecology,31
nigeria,31
boreal,31
finance,31
conflict,31
shallow,31
mineral,31
inventory,31
relative,31
modify,31
boiler,31
ev,31
main,31
methyl,31
rock,31
polymer,31
